Space group number,A,B,C,Alpha_90,Alpha,Beta_90,Beta,Gamma_90,Gamma,Z value,Molecular weight_category,S_L_category,M_L_category,S_M_category,S_category,Globularity_category,FrTPSA_category,Dipole moment_category,Refcode,SMILES,InChI string,Cell volume,Calculated density,Study temperature,Number of coordinates,Z prime,R factor,Unique chemical units,Multiplier sum,Molecular weight,S_L,M_L,S_M,S,Globularity,FrTPSA,Dipole moment,Space Group symbol,Publication year,Predicted density
4,10.62,10.65,17.27,True,90.0,False,95.3,True,90.0,4,3,3,4,4,6,2,1,1,CANDOM10,CCCCCc1cc(O)c(C2C=C(C)CCC2C(C)=C)c(O)c1,"InChI=1S/2C21H30O2/c2*1-5-6-7-8-16-12-19(22)21(20(23)13-16)18-11-15(4)9-10-17(18)14(2)3/h2*11-13,17-18,22-23H,2,5-10H2,1,3-4H3/t2*17-,18+/m00/s1",1943.756,1.075,295,72,2.0,7.52,1,1,314.2245802,0.669545657,0.909939862,0.735813085,9.720217751,0.4874280620000001,0.08619434599999999,0.370209907,P21,1977,1.08948
14,8.39,5.16,26.97,True,90.0,False,101.47,True,90.0,4,2,5,3,6,6,4,4,2,CANFED,NC(=O)OCC(COC(N)=O)c1ccccc1,"InChI=1S/C11H14N2O4/c12-10(14)16-6-9(7-17-11(13)15)8-4-2-1-3-5-8/h1-5,9H,6-7H2,(H2,12,14)(H2,13,15)",1144.465,1.383,294,31,1.0,3.35,1,1,238.0953569,0.8093703459999999,0.829907554,0.975253619,9.225172028,0.571463831,0.344679778,1.502185076,P21/c,2005,1.34549
2,5.17,20.57,22.25,False,84.12,False,88.01,False,85.19,8,2,2,4,2,2,5,2,2,CBMZPN11,NC(=O)N1c2ccccc2C=Cc2ccccc12,"InChI=1S/4C15H12N2O/c4*16-15(18)17-13-7-3-1-5-11(13)9-10-12-6-2-4-8-14(12)17/h4*1-10H,(H2,16,18)",2344.824,1.339,158,120,4.0,5.06,1,1,236.094963,0.540411913,0.916043979,0.589941013,5.867344025,0.627977301,0.169352776,1.302438887,P-1,2003,1.32919
4,7.54,11.16,13.92,True,90.0,False,92.89,True,90.0,4,2,3,3,4,3,5,2,2,CBMZPN20,NC(=O)N1c2ccccc2C=Cc2ccccc12,"InChI=1S/2C15H12N2O/c2*16-15(18)17-13-7-3-1-5-11(13)9-10-12-6-2-4-8-14(12)17/h2*1-10H,(H2,16,18)",1169.535,1.342,298,60,2.0,3.95,1,1,236.094963,0.610914334,0.835445042,0.7312441909999999,6.87025599,0.625019949,0.168610454,1.285004854,P21,2015,1.32919
19,22.15,17.32,5.97,True,90.0,True,90.0,True,90.0,4,4,2,4,3,5,2,2,2,CEKBEZ,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12,"InChI=1S/C24H36O5/c1-5-15(3)24(27)29-21-11-14(2)10-17-7-6-16(4)20(23(17)21)9-8-19-12-18(25)13-22(26)28-19/h6-7,10,14-16,18-21,23,25H,5,8-9,11-13H2,1-4H3/t14-,15-,16-,18+,19+,20-,21-,23-/m0/s1",2290.097,1.173,295,65,1.0,8.2,1,1,404.2562743,0.578643905,0.9560145,0.605266871,8.158565102999999,0.475663304,0.13294213,1.816789436,P212121,1984,1.15175
14,16.87,5.53,12.0,True,90.0,False,97.55,True,90.0,4,2,4,4,4,4,4,4,4,CEPSIZ,CCS(=O)(=O)CCN1C(=NC=C1N(=O)=O)C,"InChI=1S/C8H13N3O4S/c1-3-16(14,15)5-4-10-7(2)9-6-8(10)11(12)13/h6H,3-5H2,1-2H3",1109.09,1.481,295,29,1.0,4.78,1,1,247.0626769,0.714680248,0.917254699,0.7791513609999999,7.21103921,0.575676275,0.349889206,3.644987842,P21/n,1984,1.47891
4,7.53,8.35,12.99,True,90.0,False,100.06,True,90.0,2,3,2,4,3,4,4,3,2,CEXMAU,CC(c1ncncc1F)C(O)(CN1C=NC=N1)c1ccc(F)cc1F,"InChI=1S/C16H14F3N5O/c1-10(15-14(19)5-20-7-22-15)16(25,6-24-9-21-8-23-24)12-3-2-11(17)4-13(12)18/h2-5,7-10,25H,6H2,1H3/t10-,16+/m0/s1",804.3739999999998,1.442,294,39,1.0,5.94,1,1,349.11504469999994,0.595765559,0.979597084,0.608174084,7.254918776,0.57956004,0.213436569,1.5920411490000002,P21,2007,1.43125
19,11.87,10.0,19.45,True,90.0,True,90.0,True,90.0,4,4,4,2,6,7,3,2,1,CFHPRG,CC1(C)OC2CC3C4CCC5=CC(=O)CCC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CCl,"InChI=1S/C24H32ClFO5/c1-20(2)30-19-10-16-15-6-5-13-9-14(27)7-8-21(13,3)23(15,26)17(28)11-22(16,4)24(19,31-20)18(29)12-25/h9,15-17,19,28H,5-8,10-12H2,1-4H3/t15-,16-,17-,19+,21-,22-,23-,24+/m0/s1",2307.366,1.31,295,63,1.0,4.5,1,1,454.19223,0.74437128,0.79300923,0.938666603,10.52226209,0.532091532,0.148665031,0.8128088940000001,P212121,1981,1.33673
4,18.79,8.12,14.89,True,90.0,False,99.1,True,90.0,4,3,3,4,3,5,3,2,3,CHNOCH,CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,"InChI=1S/2C24H40O4/c2*1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h2*14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)/t2*14-,15+,16-,17-,18+,19+,20-,22+,23+,24-/m11/s1",2242.4970000000008,1.163,295,56,2.0,6.9,1,1,392.2926598,0.624180603,0.904505205,0.6900796140000001,8.888325892000001,0.5274567179999999,0.158943565,2.5433403130000003,P21,1980,1.20271
19,6.46,7.82,18.61,True,90.0,True,90.0,True,90.0,4,1,4,3,6,4,4,3,3,CIDDEZ,[NH3+]CC(CC(C)C)CC(=O)[O-],"InChI=1S/C8H17NO2/c1-6(2)3-7(5-9)4-8(10)11/h6-7H,3-5,9H2,1-2H3,(H,10,11)/t7-/m0/s1",941.122,1.124,298,28,1.0,5.1,1,1,159.12592880000003,0.770510198,0.824146136,0.934919384,7.57697614,0.589964863,0.271337166,2.657780646,P212121,2007,1.15813
